Tanggal Rilis,Judul,Deskripsi,Link,Timestamp
2023-10-17 21:46:00,Ternyata Developer Game Lokal Butuh Ini Biar Berkembang,"Ternyata Indonesia tidak kekurangan sumber daya manusia, bila kaitannya dengan pengembangan video game. Jadi bukan talenta, akan tetapi lebih kepada peluang.",https://inet.detik.com/games-news/d-6987753/ternyata-developer-game-lokal-butuh-ini-biar-berkembang,2025-03-12 09:41:48
2023-10-17 21:03:00,Miris! Gamer Indonesia Sedikit Banget yang Beli Game Lokal,"Diketahui kalau jumlah gamer di Indonesia itu sudah berkembang pesat. Tapi sedihnya, ternyata mereka lebih suka main game kompetitif garapan developer asing.",https://inet.detik.com/games-news/d-6987692/miris-gamer-indonesia-sedikit-banget-yang-beli-game-lokal,2025-03-12 09:41:48
2023-10-10 19:09:00,"Whisper Mountain Outbreak, Game Lokal Mirip Resident Evil","Toge Productions, developer game Indonesia, punya karya baru. Diberi judul Whisper Mountain Outbreak, katanya game ini terinspirasi dari Resident Evil Outbreak.",https://inet.detik.com/games-news/d-6975093/whisper-mountain-outbreak-game-lokal-mirip-resident-evil,2025-03-12 09:41:48
2023-10-04 20:46:00,Keren! 3 Game Lokal Sabet Penghargaan SEA Game Awards 2023,"Ajang penghargaan video game se-Asia Tenggara yang digelar Level Up KL resmi berakhir. Di sini ada tiga karya anak bangsa, sukses menyabet total empat gelar.",https://inet.detik.com/games-news/d-6965216/keren-3-game-lokal-sabet-penghargaan-sea-game-awards-2023,2025-03-12 09:41:48
2023-09-05 20:46:00,Game Lokal Faerie Afterlight Rilis di Steam dan Nintendo Switch,"Satu lagi developer game lokal yang unjuk gigi, yakni Clay Game Studio. Mereka bakal merilis karyanya berjudul Faerie Afterlight di Steam dan Nintendo Switch.",https://inet.detik.com/games-news/d-6914062/game-lokal-faerie-afterlight-rilis-di-steam-dan-nintendo-switch,2025-03-12 09:41:48
2023-08-23 16:08:00,"Sukses dengan Troublemaker, Gamecom Team Mau Buat Game Baru","Gamecom Team meraih kesuksesan dari game terbarunya berjudul Troublemaker. Reza Febri Nanda selaku CEO dan Founder, mengungkapkan tengah menggarap game baru.",https://inet.detik.com/games-news/d-6891592/sukses-dengan-troublemaker-gamecom-team-mau-buat-game-baru,2025-03-12 09:41:48
2023-08-19 20:30:00,35 Game Indonesia di Steam yang Wajib Gamer Coba Mainkan,"Dalam rangka merayakan Hari Kemerdekaan Indonesia yang jatuh pada tanggal 17 Agustus 2023 kemarin, bagaimana kalau gamer main game lokal yang rilis di Steam?",https://inet.detik.com/games-news/d-6884965/35-game-indonesia-di-steam-yang-wajib-gamer-coba-mainkan,2025-03-12 09:41:48
2023-08-17 22:07:00,"Valthirian Arc Series, Game Indonesia yang Sukses di Pasar Global","Agate, developer kawakan asal Indonesia, punya game RPG yang sukses menarik perhatian gamer di seluruh dunia. Melalui seri Valthirian Arc, mereka cuan banyak.",https://inet.detik.com/games-news/d-6881731/valthirian-arc-series-game-indonesia-yang-sukses-di-pasar-global,2025-03-12 09:41:48
2023-08-17 14:06:00,"Bikin Game Itu Susah-susah Gampang, Kenapa?","Ternyata bikin game itu susah-susah gampang lho, detikers. Dikatakan susah kalau memang memilih mengembangkan permainan yang butuh effort lebih banyak.",https://inet.detik.com/games-news/d-6881384/bikin-game-itu-susah-susah-gampang-kenapa,2025-03-12 09:41:53
2023-08-17 11:16:00,Perjuangan Pemuda Asal Pacitan Bangun Perusahaan Game Sendiri,"Dari rasa penasarannya terhadap game, pemuda asal Pacitan punya mimpi untuk memperkenalkan karyanya sendiri kepada dunia. Apakah terwujud? Simak penjelasannya.",https://inet.detik.com/games-news/d-6881114/perjuangan-pemuda-asal-pacitan-bangun-perusahaan-game-sendiri,2025-03-12 09:41:53
2023-08-16 06:45:00,Troublemaker Jadi Game Indonesia yang Mendunia,"Terlepas dari dominasi developer game asing, ternyata ada beberapa pengembang lokal yang bersinar. Salah satunya Gamecom Team, sukses dengan game Troublemaker.",https://inet.detik.com/games-news/d-6878735/troublemaker-jadi-game-indonesia-yang-mendunia,2025-03-12 09:41:53
2023-08-14 22:40:00,Bakal ada Perpres Game Untuk Percepat Industri Game Lokal,"Peraturan Presiden games bakal diluncurkan. Disampaikan bahwa aturan ini bakal hadir pada bulan September 2023 mendatang, agar ekosistem game lokal berkembang.",https://inet.detik.com/games-news/d-6876600/bakal-ada-perpres-game-untuk-percepat-industri-game-lokal,2025-03-12 09:41:53
2023-08-14 21:10:00,"Anantarupa Studios Gelar Event Esport Pelajar, Hadiahnya Rp 225 Juta","Anantarupa Studio resmi menggelar event tingkat pelajar, Ksatriya Mahardhika. Di dalamnya ada rangkaian kompetisi menarik, salah satunya kejuaraan esports.",https://inet.detik.com/games-news/d-6876468/anantarupa-studios-gelar-event-esport-pelajar-hadiahnya-rp-225-juta,2025-03-12 09:41:53
